Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,209.000000,230.000000,208.000000,230.000000,230.000000,90879
2018-04-09,236.000000,247.000000,231.000000,245.000000,245.000000,78827
2018-04-16,246.000000,265.000000,234.000000,238.500000,238.500000,98550
2018-04-23,243.000000,306.000000,243.000000,304.500000,304.500000,289134
2018-04-30,322.000000,375.000000,320.000000,347.000000,347.000000,135450
2018-05-07,359.000000,441.000000,353.000000,441.000000,441.000000,261676
2018-05-14,459.500000,548.000000,438.500000,481.000000,481.000000,384062
2018-05-21,493.000000,516.000000,477.000000,497.000000,497.000000,104022
2018-05-28,506.000000,510.000000,425.000000,452.000000,452.000000,128893
2018-06-04,454.000000,493.000000,452.500000,475.000000,475.000000,74485
2018-06-11,473.000000,505.000000,451.000000,495.000000,495.000000,74595
2018-06-18,496.000000,496.000000,452.000000,456.500000,456.500000,26187
2018-06-25,449.000000,465.000000,421.000000,454.000000,454.000000,49407
2018-07-02,447.500000,447.500000,410.000000,411.500000,411.500000,52542
2018-07-09,412.500000,487.000000,395.500000,479.000000,479.000000,96654
2018-07-16,480.000000,486.000000,421.000000,431.000000,431.000000,92143
2018-07-23,431.000000,454.500000,424.000000,449.000000,449.000000,55066
2018-07-30,450.500000,457.000000,430.000000,449.500000,449.500000,47821
2018-08-06,453.000000,453.000000,438.000000,441.000000,441.000000,16710
2018-08-13,442.000000,448.000000,432.500000,445.000000,445.000000,17894
2018-08-20,451.000000,474.000000,428.000000,433.000000,433.000000,52531
2018-08-27,437.000000,445.000000,361.500000,380.000000,380.000000,131081
2018-09-03,383.000000,387.500000,320.000000,340.000000,340.000000,172490
2018-09-10,340.000000,361.000000,307.000000,360.000000,360.000000,66889
2018-09-17,363.500000,375.000000,347.000000,357.500000,357.500000,32002
2018-09-24,358.000000,358.000000,335.000000,340.000000,340.000000,20266
2018-10-01,341.000000,341.000000,317.000000,334.000000,334.000000,31073
2018-10-08,330.000000,330.000000,283.000000,317.000000,317.000000,104386
2018-10-15,320.000000,343.000000,303.500000,319.000000,319.000000,57871
2018-10-22,315.000000,318.000000,282.500000,296.000000,296.000000,74426
2018-10-29,295.000000,314.000000,288.000000,308.500000,308.500000,31273
2018-11-05,310.000000,313.000000,283.000000,286.500000,286.500000,34545
